truth_1,truth_2,truth_3,truth_4,truth_5,predicted_1,predicted_2,predicted_3,predicted_4,predicted_5
0.0,0.44,0.56,0.0,0.0,0.05066666666666668,0.29533333333333317,0.40133333333333343,0.19633333333333322,0.05633333333333335
0.44,0.52,0.0,0.04,0.0,0.45166666666666655,0.3419999999999998,0.1556666666666665,0.046333333333333344,0.004333333333333333
0.0,0.08,0.2,0.52,0.2,0.001666666666666667,0.01366666666666667,0.11366666666666661,0.46666666666666684,0.40433333333333327
0.0,0.0,0.2,0.44,0.36,0.002,0.03000000000000002,0.22633333333333325,0.492666666666667,0.24899999999999994
0.0,0.0,0.04,0.48,0.48,0.0033333333333333335,0.015333333333333336,0.11333333333333322,0.5009999999999997,0.36699999999999977
0.04,0.52,0.44,0.0,0.0,0.08933333333333335,0.46966666666666695,0.36866666666666703,0.06366666666666669,0.008666666666666666
0.0,0.36,0.6,0.04,0.0,0.14199999999999993,0.3843333333333332,0.37533333333333313,0.09166666666666656,0.006666666666666666
0.0,0.08,0.28,0.48,0.16,0.016333333333333335,0.11566666666666651,0.3763333333333335,0.3763333333333334,0.11533333333333316
0.0,0.0,0.0,0.4,0.6,0.008333333333333333,0.030666666666666672,0.17333333333333306,0.4286666666666663,0.3589999999999996
0.48,0.52,0.0,0.0,0.0,0.35099999999999976,0.277,0.24266666666666656,0.10566666666666663,0.023666666666666673
0.0,0.0,0.12,0.24,0.64,0.004,0.02066666666666667,0.10899999999999983,0.31633333333333297,0.5500000000000002
0.96,0.04,0.0,0.0,0.0,0.34,0.3129999999999999,0.24899999999999997,0.08933333333333329,0.008666666666666666
0.12,0.36,0.52,0.0,0.0,0.06833333333333336,0.3733333333333331,0.45233333333333337,0.09799999999999993,0.007999999999999998
0.0,0.28,0.48,0.24,0.0,0.06266666666666669,0.11566666666666661,0.3246666666666667,0.3620000000000001,0.13499999999999987
0.04,0.0,0.16,0.64,0.16,0.0020000000000000005,0.03233333333333335,0.16066666666666649,0.49633333333333346,0.3086666666666667
0.0,0.0,0.04,0.48,0.48,0.008666666666666668,0.03266666666666667,0.20333333333333312,0.44699999999999973,0.30833333333333285
0.12,0.4,0.44,0.04,0.0,0.16633333333333336,0.2589999999999998,0.3063333333333333,0.22266666666666654,0.045666666666666696
0.0,0.0,0.0,0.12,0.88,0.0003333333333333333,0.008666666666666666,0.07266666666666667,0.3836666666666666,0.5346666666666662
0.0,0.4,0.56,0.04,0.0,0.06200000000000002,0.3463333333333332,0.48633333333333334,0.09866666666666664,0.006666666666666666
0.0,0.0,0.08,0.76,0.16,0.0003333333333333333,0.037000000000000026,0.24999999999999975,0.5666666666666672,0.14599999999999985
0.12,0.4,0.44,0.04,0.0,0.17866666666666664,0.3403333333333331,0.36033333333333334,0.10533333333333328,0.015333333333333336
0.0,0.04,0.48,0.44,0.04,0.33299999999999996,0.31133333333333313,0.2249999999999999,0.109,0.02166666666666667
0.0,0.0,0.44,0.44,0.12,0.007333333333333334,0.03800000000000002,0.17399999999999985,0.4303333333333334,0.35033333333333316
0.0,0.0,0.2,0.64,0.16,0.0003333333333333333,0.026000000000000016,0.27466666666666656,0.47166666666666635,0.2273333333333331
0.0,0.0,0.28,0.56,0.16,0.0016666666666666668,0.035333333333333355,0.20533333333333298,0.5723333333333339,0.1853333333333334
0.0,0.0,0.12,0.32,0.56,0.0006666666666666666,0.009666666666666669,0.1309999999999999,0.5113333333333336,0.34733333333333327
0.0,0.0,0.0,0.24,0.76,0.0003333333333333333,0.005333333333333333,0.10866666666666651,0.31999999999999973,0.565666666666667
0.0,0.16,0.8,0.04,0.0,0.030666666666666672,0.09066666666666665,0.22933333333333294,0.44799999999999984,0.20133333333333311
0.08,0.2,0.68,0.04,0.0,0.12166666666666638,0.2776666666666662,0.47766666666666685,0.11399999999999987,0.009000000000000001
0.0,0.16,0.56,0.2,0.08,0.05233333333333334,0.17199999999999965,0.4840000000000003,0.23566666666666675,0.056000000000000036
0.0,0.4,0.48,0.12,0.0,0.16166666666666657,0.3366666666666665,0.36066666666666675,0.1263333333333333,0.014666666666666668
0.0,0.0,0.24,0.48,0.28,0.0036666666666666666,0.028333333333333346,0.15966666666666654,0.4933333333333335,0.315
0.0,0.0,0.04,0.4,0.56,0.043000000000000024,0.14366666666666655,0.2736666666666663,0.37200000000000005,0.16766666666666655
0.0,0.0,0.24,0.52,0.24,0.013666666666666667,0.05633333333333336,0.30499999999999994,0.44299999999999995,0.18199999999999983
0.0,0.0,0.2,0.76,0.04,0.0006666666666666666,0.036333333333333356,0.2439999999999997,0.5753333333333338,0.14366666666666647
0.0,0.04,0.32,0.52,0.12,0.03066666666666668,0.16999999999999987,0.35833333333333334,0.3496666666666665,0.09133333333333331
0.0,0.0,0.12,0.68,0.2,0.003,0.02233333333333333,0.1456666666666666,0.39833333333333304,0.43066666666666625
0.0,0.0,0.12,0.4,0.48,0.003,0.026000000000000006,0.16833333333333328,0.40199999999999997,0.40066666666666645
0.08,0.64,0.28,0.0,0.0,0.0496666666666667,0.4220000000000003,0.4296666666666665,0.08366666666666665,0.015000000000000003
0.04,0.08,0.76,0.12,0.0,0.07133333333333335,0.22299999999999975,0.5080000000000003,0.1706666666666665,0.02700000000000001
0.0,0.2,0.64,0.16,0.0,0.028666666666666684,0.2969999999999997,0.4966666666666671,0.14233333333333312,0.03533333333333334
0.0,0.0,0.04,0.44,0.52,0.0023333333333333335,0.026333333333333337,0.15533333333333318,0.5140000000000009,0.3019999999999996
0.0,0.08,0.44,0.4,0.08,0.010000000000000002,0.07999999999999995,0.28766666666666657,0.418,0.20433333333333314
0.24,0.52,0.16,0.08,0.0,0.19899999999999998,0.2069999999999999,0.3059999999999998,0.2286666666666665,0.05933333333333337
0.48,0.48,0.04,0.0,0.0,0.2306666666666667,0.2926666666666665,0.28300000000000003,0.1599999999999999,0.03366666666666667
0.0,0.0,0.08,0.64,0.28,0.004,0.03600000000000002,0.23699999999999985,0.5316666666666668,0.1913333333333332
0.0,0.08,0.32,0.52,0.08,0.004666666666666667,0.05133333333333335,0.21733333333333318,0.4246666666666667,0.302
0.0,0.2,0.56,0.24,0.0,0.02366666666666668,0.10133333333333336,0.36100000000000015,0.4056666666666668,0.10833333333333317
0.0,0.0,0.0,0.28,0.72,0.0006666666666666666,0.022333333333333337,0.11199999999999985,0.4276666666666667,0.43733333333333335
0.0,0.04,0.16,0.52,0.28,0.004666666666666667,0.033666666666666664,0.12666666666666648,0.45266666666666655,0.38233333333333325
0.0,0.0,0.08,0.6,0.32,0.004333333333333333,0.030666666666666686,0.13233333333333316,0.6113333333333332,0.2213333333333332
0.0,0.0,0.08,0.52,0.4,0.0026666666666666666,0.03266666666666669,0.20599999999999966,0.4673333333333328,0.29133333333333356
0.2,0.56,0.24,0.0,0.0,0.012333333333333335,0.06400000000000003,0.2833333333333332,0.4880000000000003,0.15233333333333313
0.0,0.12,0.56,0.28,0.04,0.030666666666666672,0.09699999999999996,0.27599999999999997,0.3903333333333329,0.20599999999999996
0.08,0.44,0.48,0.0,0.0,0.1493333333333332,0.4006666666666668,0.3356666666666668,0.09733333333333334,0.017000000000000005
0.0,0.16,0.56,0.2,0.08,0.04033333333333334,0.1753333333333331,0.37533333333333346,0.3273333333333333,0.08166666666666668
0.0,0.52,0.44,0.04,0.0,0.13599999999999995,0.2786666666666664,0.37533333333333324,0.18499999999999994,0.02500000000000001
0.0,0.04,0.44,0.44,0.08,0.051000000000000024,0.24333333333333326,0.3963333333333337,0.233333333333333,0.07600000000000004
0.0,0.0,0.16,0.6,0.24,0.0,0.011333333333333336,0.060666666666666695,0.4453333333333329,0.48266666666666613
0.0,0.2,0.44,0.32,0.04,0.13699999999999998,0.1273333333333333,0.25366666666666654,0.36400000000000016,0.11799999999999988
0.88,0.12,0.0,0.0,0.0,0.40766666666666623,0.43033333333333373,0.12399999999999994,0.03533333333333334,0.0026666666666666666
0.0,0.0,0.12,0.36,0.52,0.013000000000000001,0.04466666666666668,0.22533333333333336,0.34766666666666646,0.3693333333333331
0.2,0.4,0.36,0.04,0.0,0.012000000000000002,0.09399999999999994,0.2856666666666667,0.4803333333333335,0.12799999999999992
0.24,0.6,0.16,0.0,0.0,0.21933333333333324,0.404,0.30133333333333334,0.05966666666666668,0.01566666666666667
0.0,0.0,0.04,0.48,0.48,0.0,0.011333333333333336,0.06433333333333337,0.44666666666666616,0.47766666666666613
0.48,0.36,0.16,0.0,0.0,0.13999999999999999,0.28433333333333305,0.37166666666666626,0.18899999999999997,0.015000000000000006
0.0,0.0,0.08,0.6,0.32,0.010666666666666668,0.0636666666666667,0.23766666666666653,0.39633333333333365,0.2916666666666664
0.0,0.08,0.36,0.48,0.08,0.004333333333333333,0.04700000000000003,0.17199999999999974,0.38433333333333347,0.3923333333333334
0.0,0.0,0.04,0.16,0.8,0.0013333333333333333,0.02166666666666667,0.13333333333333322,0.4760000000000003,0.36766666666666664
0.0,0.0,0.04,0.36,0.6,0.001,0.015000000000000001,0.09699999999999999,0.40866666666666657,0.47833333333333333
0.0,0.0,0.0,0.44,0.56,0.0013333333333333333,0.017,0.11233333333333333,0.41099999999999975,0.45833333333333337
0.0,0.32,0.36,0.32,0.0,0.27366666666666667,0.18899999999999997,0.26866666666666666,0.21399999999999988,0.054666666666666704
0.0,0.04,0.36,0.48,0.12,0.14866666666666667,0.16733333333333325,0.2439999999999998,0.3286666666666668,0.1113333333333333
0.0,0.0,0.16,0.4,0.44,0.003,0.016666666666666666,0.10799999999999983,0.5079999999999998,0.3643333333333335
0.0,0.0,0.0,0.52,0.48,0.0016666666666666668,0.023000000000000013,0.2056666666666664,0.4709999999999999,0.2986666666666666
