predicted,truth
3.254222222222221,3.08
4.233777777777774,4.466666666666669
2.8738888888888865,2.56
3.8154444444444398,4.33333333333333
3.270833333333337,3.76
3.0406666666666697,3.44
4.168222222222218,4.56666666666667
1.8024722222222218,1.64
2.9916111111111134,3.5
3.7371111111111093,4.44
3.7082222222222265,4.0
3.342694444444444,4.04
3.8943888888888893,4.48
3.1968333333333314,2.3333333333333304
3.170444444444446,2.68
3.1558333333333346,3.56
4.114966666666666,3.84
3.4026666666666667,4.16
3.894388888888889,3.0
4.221499999999997,4.44
4.044722222222218,4.2
4.263,3.28
3.3435000000000006,3.32
2.398833333333331,2.4
3.365944444444445,2.68
4.3504444444444434,4.5
3.598444444444439,3.44
2.6864444444444446,2.63333333333333
3.005944444444442,3.72
4.035722222222223,4.9
3.9097222222222214,3.32
3.2056111111111094,3.12
4.118555555555556,4.3
4.178638888888893,4.3
4.168833333333333,4.6
4.402611111111105,4.56666666666667
3.4207222222222233,4.04
2.341426984126985,1.8666666666666696
4.547888888888894,4.83333333333333
3.614222222222224,3.9
3.3965555555555578,2.84
4.443888888888891,4.466666666666669
3.19016666666667,2.4
3.647277777777783,4.32
4.738694444444446,4.84
3.183444444444446,3.52
2.730388888888887,2.28
3.705111111111109,3.44
1.477361111111112,1.24
3.859111111111109,1.52
4.623638888888882,4.52
3.393277777777777,3.64
4.202333333333332,4.52
4.206944444444447,4.48
3.5447222222222186,3.8
3.1629444444444434,2.48
3.304055555555556,2.6
3.252777777777778,2.4
3.5814999999999984,3.52
2.2830000000000004,1.04
4.109555555555549,3.56
4.043944444444445,1.8
2.6215555555555565,2.4
3.981444444444442,2.96
3.7095555555555557,3.0
2.430944444444444,1.1
3.809944444444445,3.88
2.7908333333333326,1.6333333333333302
3.6183333333333327,4.36666666666667
2.6842222222222234,3.04
3.243194444444447,3.28
3.3224222222222224,4.44
3.382833333333333,4.5
2.4547500000000024,2.4
2.933833333333337,3.12
4.256111111111112,3.28
3.259277777777775,3.92
4.3979444444444455,4.88
4.253444444444439,4.52
3.747666666666667,3.53333333333333
3.87561111111111,4.5
4.6987777777777735,4.92
4.253444444444439,4.48
3.16838888888889,3.64
2.955777777777778,2.64
4.139111111111112,4.36
3.7336666666666662,2.28
3.873611111111111,3.88
1.627277777777779,1.36
3.2337777777777803,2.56
4.051333333333333,3.72
3.106583333333336,4.24
3.6318095238095283,3.52
2.9966666666666693,2.0
3.5837777777777773,3.8
3.0541666666666654,1.68
4.119777777777778,4.08
3.634777777777775,3.9
3.106322222222223,2.4
3.1028888888888875,3.48
3.464472222222224,3.68
4.3425,4.76
3.8790555555555577,3.96
3.779222222222223,3.88
4.082111111111117,4.52
4.031666666666665,4.44
4.01472222222222,4.04
3.5326666666666666,3.6666666666666696
2.687144444444443,2.2333333333333303
2.6912222222222173,2.36
3.1342222222222205,3.4
4.64666666666667,4.76
3.1800555555555574,2.88
2.9303888888888907,1.64
4.104666666666663,4.68
3.4394999999999984,4.16
3.167388888888893,3.76
3.1928333333333327,2.68
2.9348888888888895,3.06666666666667
3.8383333333333316,3.72
3.1201111111111137,3.4
3.1201111111111137,3.36
3.4473888888888866,3.93333333333333
2.656027777777778,1.1
3.2582222222222215,2.84
2.825666666666667,2.56
3.1310555555555557,3.2
3.4311666666666656,2.72
4.180888888888889,4.44
3.3185000000000007,4.13333333333333
3.7086666666666672,4.48
2.3185833333333346,2.6
3.287777777777779,3.24
3.9496666666666695,4.04
3.9671111111111093,4.466666666666669
3.916000000000003,4.52
4.035500000000001,4.2
2.758666666666669,2.04
3.600833333333335,4.0
4.203833333333334,4.48
3.0293333333333363,4.0
3.803833333333329,3.36
3.420666666666666,3.84
