truth_1,truth_2,truth_3,truth_4,truth_5,predicted_1,predicted_2,predicted_3,predicted_4,predicted_5
0.0,0.44,0.56,0.0,0.0,0.0458333333333333,0.31916666666666665,0.4591666666666666,0.14633333333333315,0.029500000000000016
0.44,0.52,0.0,0.04,0.0,0.5476666666666664,0.3316666666666666,0.09733333333333319,0.019500000000000007,0.003833333333333333
0.0,0.08,0.2,0.52,0.2,0.0016666666666666668,0.009666666666666667,0.08316666666666646,0.45366666666666655,0.45183333333333364
0.0,0.0,0.2,0.44,0.36,0.009000000000000001,0.047666666666666586,0.2521666666666666,0.4621666666666668,0.22899999999999948
0.0,0.0,0.04,0.48,0.48,0.0008333333333333334,0.011833333333333336,0.10333333333333306,0.45199999999999996,0.43200000000000016
0.04,0.52,0.44,0.0,0.0,0.05133333333333332,0.4081666666666669,0.44850000000000045,0.08333333333333322,0.008666666666666666
0.0,0.36,0.6,0.04,0.0,0.07133333333333328,0.3583333333333336,0.44900000000000007,0.10833333333333317,0.013000000000000006
0.0,0.08,0.28,0.48,0.16,0.0075000000000000015,0.08349999999999975,0.36066666666666675,0.4026666666666665,0.14566666666666653
0.0,0.0,0.0,0.4,0.6,0.0006666666666666666,0.010833333333333335,0.14799999999999963,0.4528333333333335,0.38766666666666716
0.48,0.52,0.0,0.0,0.0,0.25616666666666615,0.3390000000000002,0.31550000000000017,0.07983333333333321,0.009500000000000001
0.0,0.0,0.12,0.24,0.64,0.00016666666666666666,0.006000000000000002,0.08249999999999989,0.36466666666666614,0.546666666666667
0.96,0.04,0.0,0.0,0.0,0.4083333333333329,0.3953333333333337,0.1638333333333332,0.028333333333333342,0.004166666666666667
0.12,0.36,0.52,0.0,0.0,0.1058333333333333,0.35133333333333366,0.4529999999999999,0.08599999999999988,0.003833333333333333
0.0,0.28,0.48,0.24,0.0,0.07799999999999994,0.16966666666666635,0.36866666666666664,0.2898333333333332,0.09383333333333321
0.04,0.0,0.16,0.64,0.16,0.004166666666666667,0.04183333333333328,0.19266666666666626,0.49749999999999955,0.26383333333333325
0.0,0.0,0.04,0.48,0.48,0.0023333333333333335,0.035833333333333314,0.23016666666666682,0.4428333333333338,0.2888333333333331
0.12,0.4,0.44,0.04,0.0,0.1906666666666665,0.29433333333333334,0.30366666666666664,0.17799999999999988,0.03333333333333335
0.0,0.0,0.0,0.12,0.88,0.0003333333333333333,0.007500000000000003,0.09249999999999994,0.4023333333333326,0.4973333333333347
0.0,0.4,0.56,0.04,0.0,0.06766666666666667,0.33250000000000046,0.49200000000000027,0.10266666666666655,0.0051666666666666675
0.0,0.0,0.08,0.76,0.16,0.032500000000000015,0.10566666666666623,0.26750000000000024,0.4713333333333333,0.12299999999999982
0.12,0.4,0.44,0.04,0.0,0.07466666666666663,0.2789999999999999,0.38533333333333325,0.21399999999999966,0.04699999999999999
0.0,0.04,0.48,0.44,0.04,0.05916666666666664,0.08999999999999986,0.2723333333333332,0.44283333333333347,0.13566666666666655
0.0,0.0,0.44,0.44,0.12,0.022166666666666668,0.09516666666666652,0.2633333333333331,0.4026666666666664,0.21666666666666642
